timestamp,filename,angle_deg,raw_angle,magnitude,exposure_us,gain
20251102_151008,scan_angle_0000.26deg_exp54974us_gain4.00_20251102_151008.jpg,0.263672,1679,2129,54974,4.0000
20251102_151008,scan_angle_0000.26deg_exp54974us_gain4.00_20251102_151008.jpg,0.263672,1679,2129,54974,4.0000
20251102_151009,scan_angle_0000.26deg_exp54974us_gain4.00_20251102_151009.jpg,0.263672,1679,2132,54974,4.0000
20251102_151009,scan_angle_0000.26deg_exp54974us_gain4.00_20251102_151009.jpg,0.263672,1679,2132,54974,4.0000
20251102_151009,scan_angle_0000.26deg_exp54974us_gain4.00_20251102_151009.jpg,0.263672,1679,2131,54974,4.0000
20251102_151009,scan_angle_0000.26deg_exp54974us_gain4.00_20251102_151009.jpg,0.263672,1679,2131,54974,4.0000
20251102_151010,scan_angle_0000.26deg_exp54974us_gain4.00_20251102_151010.jpg,0.263672,1679,2131,54974,4.0000
20251102_151010,scan_angle_0358.42deg_exp54974us_gain4.00_20251102_151010.jpg,358.417969,1658,2133,54974,4.0000
20251102_151010,scan_angle_0356.13deg_exp54974us_gain4.00_20251102_151010.jpg,356.132812,1632,2134,54974,4.0000
20251102_151010,scan_angle_0354.11deg_exp54974us_gain4.00_20251102_151010.jpg,354.111328,1609,2136,54974,4.0000
20251102_151011,scan_angle_0350.68deg_exp54974us_gain4.00_20251102_151011.jpg,350.683594,1570,2140,54974,4.0000
20251102_151011,scan_angle_0347.96deg_exp54974us_gain4.00_20251102_151011.jpg,347.958984,1539,2142,54974,4.0000
20251102_151011,scan_angle_0340.66deg_exp54974us_gain4.00_20251102_151011.jpg,340.664062,1456,2121,54974,4.0000
20251102_151012,scan_angle_0334.95deg_exp54974us_gain4.00_20251102_151012.jpg,334.951172,1391,2121,54974,4.0000
20251102_151012,scan_angle_0330.12deg_exp54974us_gain4.00_20251102_151012.jpg,330.117188,1336,2121,54974,4.0000
20251102_151012,scan_angle_0325.20deg_exp54974us_gain4.00_20251102_151012.jpg,325.195312,1280,2119,54974,4.0000
20251102_151012,scan_angle_0321.77deg_exp54974us_gain4.00_20251102_151012.jpg,321.767578,1241,2118,54974,4.0000
20251102_151013,scan_angle_0318.25deg_exp54974us_gain4.00_20251102_151013.jpg,318.251953,1201,2116,54974,4.0000
20251102_151013,scan_angle_0314.47deg_exp54974us_gain4.00_20251102_151013.jpg,314.472656,1158,2113,54974,4.0000
20251102_151013,scan_angle_0312.63deg_exp54974us_gain4.00_20251102_151013.jpg,312.626953,1137,2111,54974,4.0000
20251102_151013,scan_angle_0310.96deg_exp54974us_gain4.00_20251102_151013.jpg,310.957031,1118,2111,54974,4.0000
20251102_151014,scan_angle_0307.97deg_exp54974us_gain4.00_20251102_151014.jpg,307.968750,1084,2104,54974,4.0000
20251102_151014,scan_angle_0306.56deg_exp54974us_gain4.00_20251102_151014.jpg,306.562500,1068,2105,54974,4.0000
20251102_151014,scan_angle_0302.08deg_exp54974us_gain4.00_20251102_151014.jpg,302.080078,1017,2099,54974,4.0000
20251102_151015,scan_angle_0298.21deg_exp54974us_gain4.00_20251102_151015.jpg,298.212891,973,2097,54974,4.0000
20251102_151015,scan_angle_0295.14deg_exp54974us_gain4.00_20251102_151015.jpg,295.136719,938,2093,54974,4.0000
20251102_151015,scan_angle_0292.41deg_exp54974us_gain4.00_20251102_151015.jpg,292.412109,907,2089,54974,4.0000
20251102_151015,scan_angle_0290.57deg_exp54974us_gain4.00_20251102_151015.jpg,290.566406,886,2085,54974,4.0000
20251102_151016,scan_angle_0288.28deg_exp54974us_gain4.00_20251102_151016.jpg,288.281250,860,2080,54974,4.0000
20251102_151016,scan_angle_0287.49deg_exp54974us_gain4.00_20251102_151016.jpg,287.490234,851,2078,54974,4.0000
20251102_151016,scan_angle_0285.03deg_exp54974us_gain4.00_20251102_151016.jpg,285.029297,823,2078,54974,4.0000
20251102_151016,scan_angle_0281.78deg_exp54974us_gain4.00_20251102_151016.jpg,281.777344,786,2062,54974,4.0000
20251102_151017,scan_angle_0277.38deg_exp54974us_gain4.00_20251102_151017.jpg,277.382812,736,2069,54974,4.0000
20251102_151017,scan_angle_0274.04deg_exp54974us_gain4.00_20251102_151017.jpg,274.042969,698,2068,54974,4.0000
20251102_151017,scan_angle_0269.82deg_exp54974us_gain4.00_20251102_151017.jpg,269.824219,650,2061,54974,4.0000
20251102_151018,scan_angle_0266.66deg_exp54974us_gain4.00_20251102_151018.jpg,266.660156,614,2059,54974,4.0000
20251102_151018,scan_angle_0262.44deg_exp54974us_gain4.00_20251102_151018.jpg,262.441406,566,2059,54974,4.0000
20251102_151018,scan_angle_0259.72deg_exp54974us_gain4.00_20251102_151018.jpg,259.716797,535,2059,54974,4.0000
20251102_151018,scan_angle_0257.87deg_exp54974us_gain4.00_20251102_151018.jpg,257.871094,514,2055,54974,4.0000
20251102_151019,scan_angle_0255.76deg_exp54974us_gain4.00_20251102_151019.jpg,255.761719,490,2051,54974,4.0000
20251102_151019,scan_angle_0251.37deg_exp54974us_gain4.00_20251102_151019.jpg,251.367188,440,2071,54974,4.0000
20251102_151019,scan_angle_0242.93deg_exp54974us_gain4.00_20251102_151019.jpg,242.929688,344,2065,54974,4.0000
20251102_151019,scan_angle_0234.76deg_exp54974us_gain4.00_20251102_151019.jpg,234.755859,251,2063,54974,4.0000
20251102_151020,scan_angle_0228.96deg_exp54974us_gain4.00_20251102_151020.jpg,228.955078,185,2059,54974,4.0000
20251102_151020,scan_angle_0226.05deg_exp54974us_gain4.00_20251102_151020.jpg,226.054688,152,2059,54974,4.0000
20251102_151020,scan_angle_0222.89deg_exp54974us_gain4.00_20251102_151020.jpg,222.890625,116,2059,54974,4.0000
20251102_151020,scan_angle_0218.14deg_exp54974us_gain4.00_20251102_151020.jpg,218.144531,62,2060,54974,4.0000
20251102_151021,scan_angle_0213.84deg_exp54974us_gain4.00_20251102_151021.jpg,213.837891,13,2060,54974,4.0000
20251102_151021,scan_angle_0210.50deg_exp54974us_gain4.00_20251102_151021.jpg,210.498047,4071,2055,54974,4.0000
20251102_151021,scan_angle_0207.95deg_exp54974us_gain4.00_20251102_151021.jpg,207.949219,4042,2058,54974,4.0000
20251102_151022,scan_angle_0204.61deg_exp54974us_gain4.00_20251102_151022.jpg,204.609375,4004,2060,54974,4.0000
20251102_151022,scan_angle_0202.41deg_exp54974us_gain4.00_20251102_151022.jpg,202.412109,3979,2057,54974,4.0000
20251102_151022,scan_angle_0199.42deg_exp54974us_gain4.00_20251102_151022.jpg,199.423828,3945,2056,54974,4.0000
20251102_151022,scan_angle_0196.08deg_exp54974us_gain4.00_20251102_151022.jpg,196.083984,3907,2061,54974,4.0000
20251102_151023,scan_angle_0191.43deg_exp54974us_gain4.00_20251102_151023.jpg,191.425781,3854,2055,54974,4.0000
20251102_151023,scan_angle_0187.03deg_exp54974us_gain4.00_20251102_151023.jpg,187.031250,3804,2059,54974,4.0000
20251102_151023,scan_angle_0184.39deg_exp54974us_gain4.00_20251102_151023.jpg,184.394531,3774,2061,54974,4.0000
20251102_151023,scan_angle_0182.46deg_exp54974us_gain4.00_20251102_151023.jpg,182.460938,3752,2061,54974,4.0000
20251102_151024,scan_angle_0179.47deg_exp54974us_gain4.00_20251102_151024.jpg,179.472656,3718,2061,54974,4.0000
20251102_151024,scan_angle_0175.08deg_exp54974us_gain4.00_20251102_151024.jpg,175.078125,3668,2061,54974,4.0000
