timestamp,filename,angle_deg,raw_angle,magnitude,exposure_us,gain
20251102_150031,scan_angle_0272.72deg_exp1000000us_gain9.50_20251102_150031.jpg,272.724609,1307,2110,1000000,9.5000
20251102_150034,scan_angle_0269.74deg_exp1000000us_gain9.50_20251102_150034.jpg,269.736328,1273,2110,1000000,9.5000
20251102_150034,scan_angle_0267.63deg_exp1000000us_gain9.50_20251102_150034.jpg,267.626953,1249,2110,1000000,9.5000
20251102_150035,scan_angle_0265.96deg_exp1000000us_gain9.50_20251102_150035.jpg,265.957031,1230,2110,1000000,9.5000
20251102_150036,scan_angle_0264.55deg_exp1000000us_gain9.50_20251102_150036.jpg,264.550781,1214,2109,1000000,9.5000
20251102_150036,scan_angle_0263.14deg_exp1000000us_gain9.50_20251102_150036.jpg,263.144531,1198,2107,1000000,9.5000
20251102_150037,scan_angle_0262.18deg_exp1000000us_gain9.50_20251102_150037.jpg,262.177734,1187,2103,1000000,9.5000
20251102_150038,scan_angle_0261.21deg_exp1000000us_gain9.50_20251102_150038.jpg,261.210938,1176,2104,1000000,9.5000
20251102_150039,scan_angle_0259.89deg_exp1000000us_gain9.50_20251102_150039.jpg,259.892578,1161,2103,1000000,9.5000
20251102_150039,scan_angle_0259.28deg_exp1000000us_gain9.50_20251102_150039.jpg,259.277344,1154,2101,1000000,9.5000
20251102_150040,scan_angle_0258.05deg_exp1000000us_gain9.50_20251102_150040.jpg,258.046875,1140,2101,1000000,9.5000
20251102_150041,scan_angle_0255.94deg_exp1000000us_gain9.50_20251102_150041.jpg,255.937500,1116,2099,1000000,9.5000
20251102_150042,scan_angle_0253.83deg_exp1000000us_gain9.50_20251102_150042.jpg,253.828125,1092,2098,1000000,9.5000
20251102_150042,scan_angle_0251.98deg_exp1000000us_gain9.50_20251102_150042.jpg,251.982422,1071,2096,1000000,9.5000
20251102_150043,scan_angle_0249.61deg_exp1000000us_gain9.50_20251102_150043.jpg,249.609375,1044,2092,1000000,9.5000
20251102_150044,scan_angle_0247.76deg_exp1000000us_gain9.50_20251102_150044.jpg,247.763672,1023,2088,1000000,9.5000
20251102_150045,scan_angle_0246.45deg_exp1000000us_gain9.50_20251102_150045.jpg,246.445312,1008,2090,1000000,9.5000
20251102_150045,scan_angle_0244.95deg_exp1000000us_gain9.50_20251102_150045.jpg,244.951172,991,2087,1000000,9.5000
20251102_150046,scan_angle_0243.63deg_exp1000000us_gain9.50_20251102_150046.jpg,243.632812,976,2085,1000000,9.5000
20251102_150046,scan_angle_0242.58deg_exp1000000us_gain9.50_20251102_150046.jpg,242.578125,964,2086,1000000,9.5000
20251102_150047,scan_angle_0240.21deg_exp1000000us_gain9.50_20251102_150047.jpg,240.205078,937,2081,1000000,9.5000
20251102_150048,scan_angle_0238.18deg_exp1000000us_gain9.50_20251102_150048.jpg,238.183594,914,2079,1000000,9.5000
20251102_150048,scan_angle_0235.99deg_exp1000000us_gain9.50_20251102_150048.jpg,235.986328,889,2077,1000000,9.5000
20251102_150049,scan_angle_0233.26deg_exp1000000us_gain9.50_20251102_150049.jpg,233.261719,858,2070,1000000,9.5000
20251102_150049,scan_angle_0231.15deg_exp1000000us_gain9.50_20251102_150049.jpg,231.152344,834,2066,1000000,9.5000
20251102_150050,scan_angle_0228.96deg_exp1000000us_gain9.50_20251102_150050.jpg,228.955078,809,2062,1000000,9.5000
20251102_150050,scan_angle_0226.05deg_exp1000000us_gain9.50_20251102_150050.jpg,226.054688,776,2073,1000000,9.5000
