timestamp,filename,angle_deg,raw_angle,magnitude,exposure_us,gain
20251102_151349,scan_angle_0000.53deg_exp149003us_gain1.50_20251102_151349.jpg,0.527344,3053,2061,149003,1.5000
20251102_151350,scan_angle_0000.53deg_exp149003us_gain1.50_20251102_151350.jpg,0.527344,3053,2062,149003,1.5000
20251102_151350,scan_angle_0002.11deg_exp149003us_gain1.50_20251102_151350.jpg,2.109375,3071,2061,149003,1.5000
20251102_151351,scan_angle_0003.60deg_exp149003us_gain1.50_20251102_151351.jpg,3.603516,3088,2057,149003,1.5000
20251102_151351,scan_angle_0005.80deg_exp149003us_gain1.50_20251102_151351.jpg,5.800781,3113,2060,149003,1.5000
20251102_151351,scan_angle_0007.47deg_exp149003us_gain1.50_20251102_151351.jpg,7.470703,3132,2061,149003,1.5000
20251102_151352,scan_angle_0009.58deg_exp149003us_gain1.50_20251102_151352.jpg,9.580078,3156,2061,149003,1.5000
20251102_151352,scan_angle_0010.90deg_exp149003us_gain1.50_20251102_151352.jpg,10.898438,3171,2063,149003,1.5000
20251102_151352,scan_angle_0012.04deg_exp149003us_gain1.50_20251102_151352.jpg,12.041016,3184,2062,149003,1.5000
20251102_151353,scan_angle_0013.27deg_exp149003us_gain1.50_20251102_151353.jpg,13.271484,3198,2062,149003,1.5000
20251102_151353,scan_angle_0014.77deg_exp149003us_gain1.50_20251102_151353.jpg,14.765625,3215,2065,149003,1.5000
20251102_151353,scan_angle_0016.52deg_exp149003us_gain1.50_20251102_151353.jpg,16.523438,3235,2065,149003,1.5000
20251102_151354,scan_angle_0017.75deg_exp149003us_gain1.50_20251102_151354.jpg,17.753906,3249,2065,149003,1.5000
20251102_151354,scan_angle_0018.28deg_exp149003us_gain1.50_20251102_151354.jpg,18.281250,3255,2063,149003,1.5000
20251102_151354,scan_angle_0019.25deg_exp149003us_gain1.50_20251102_151354.jpg,19.248047,3266,2064,149003,1.5000
20251102_151355,scan_angle_0020.57deg_exp149003us_gain1.50_20251102_151355.jpg,20.566406,3281,2063,149003,1.5000
20251102_151355,scan_angle_0021.71deg_exp149003us_gain1.50_20251102_151355.jpg,21.708984,3294,2065,149003,1.5000
20251102_151355,scan_angle_0022.85deg_exp149003us_gain1.50_20251102_151355.jpg,22.851562,3307,2064,149003,1.5000
20251102_151356,scan_angle_0023.91deg_exp149003us_gain1.50_20251102_151356.jpg,23.906250,3319,2063,149003,1.5000
20251102_151356,scan_angle_0025.58deg_exp149003us_gain1.50_20251102_151356.jpg,25.576172,3338,2063,149003,1.5000
20251102_151356,scan_angle_0026.81deg_exp149003us_gain1.50_20251102_151356.jpg,26.806641,3352,2065,149003,1.5000
20251102_151357,scan_angle_0028.12deg_exp149003us_gain1.50_20251102_151357.jpg,28.125000,3367,2064,149003,1.5000
20251102_151357,scan_angle_0029.00deg_exp149003us_gain1.50_20251102_151357.jpg,29.003906,3377,2064,149003,1.5000
20251102_151357,scan_angle_0029.88deg_exp149003us_gain1.50_20251102_151357.jpg,29.882812,3387,2062,149003,1.5000
20251102_151358,scan_angle_0031.99deg_exp149003us_gain1.50_20251102_151358.jpg,31.992188,3411,2064,149003,1.5000
20251102_151358,scan_angle_0033.22deg_exp149003us_gain1.50_20251102_151358.jpg,33.222656,3425,2066,149003,1.5000
20251102_151358,scan_angle_0034.72deg_exp149003us_gain1.50_20251102_151358.jpg,34.716797,3442,2068,149003,1.5000
20251102_151359,scan_angle_0035.42deg_exp149003us_gain1.50_20251102_151359.jpg,35.419922,3450,2069,149003,1.5000
20251102_151359,scan_angle_0037.09deg_exp149003us_gain1.50_20251102_151359.jpg,37.089844,3469,2070,149003,1.5000
20251102_151359,scan_angle_0039.38deg_exp149003us_gain1.50_20251102_151359.jpg,39.375000,3495,2067,149003,1.5000
20251102_151400,scan_angle_0041.48deg_exp149003us_gain1.50_20251102_151400.jpg,41.484375,3519,2066,149003,1.5000
20251102_151400,scan_angle_0043.95deg_exp149003us_gain1.50_20251102_151400.jpg,43.945312,3547,2066,149003,1.5000
20251102_151400,scan_angle_0045.00deg_exp149003us_gain1.50_20251102_151400.jpg,45.000000,3559,2067,149003,1.5000
20251102_151401,scan_angle_0047.02deg_exp149003us_gain1.50_20251102_151401.jpg,47.021484,3582,2066,149003,1.5000
20251102_151401,scan_angle_0048.78deg_exp149003us_gain1.50_20251102_151401.jpg,48.779297,3602,2064,149003,1.5000
20251102_151401,scan_angle_0050.36deg_exp149003us_gain1.50_20251102_151401.jpg,50.361328,3620,2063,149003,1.5000
20251102_151402,scan_angle_0052.38deg_exp149003us_gain1.50_20251102_151402.jpg,52.382812,3643,2063,149003,1.5000
20251102_151402,scan_angle_0053.96deg_exp149003us_gain1.50_20251102_151402.jpg,53.964844,3661,2063,149003,1.5000
20251102_151402,scan_angle_0055.55deg_exp149003us_gain1.50_20251102_151402.jpg,55.546875,3679,2063,149003,1.5000
20251102_151402,scan_angle_0058.10deg_exp149003us_gain1.50_20251102_151402.jpg,58.095703,3708,2062,149003,1.5000
20251102_151403,scan_angle_0059.77deg_exp149003us_gain1.50_20251102_151403.jpg,59.765625,3727,2059,149003,1.5000
20251102_151403,scan_angle_0061.96deg_exp149003us_gain1.50_20251102_151403.jpg,61.962891,3752,2054,149003,1.5000
20251102_151403,scan_angle_0063.81deg_exp149003us_gain1.50_20251102_151403.jpg,63.808594,3773,2053,149003,1.5000
20251102_151404,scan_angle_0066.27deg_exp149003us_gain1.50_20251102_151404.jpg,66.269531,3801,2050,149003,1.5000
20251102_151404,scan_angle_0067.50deg_exp149003us_gain1.50_20251102_151404.jpg,67.500000,3815,2049,149003,1.5000
20251102_151404,scan_angle_0068.82deg_exp149003us_gain1.50_20251102_151404.jpg,68.818359,3830,2050,149003,1.5000
20251102_151405,scan_angle_0070.75deg_exp149003us_gain1.50_20251102_151405.jpg,70.751953,3852,2046,149003,1.5000
20251102_151405,scan_angle_0072.69deg_exp149003us_gain1.50_20251102_151405.jpg,72.685547,3874,2045,149003,1.5000
20251102_151405,scan_angle_0074.53deg_exp149003us_gain1.50_20251102_151405.jpg,74.531250,3895,2044,149003,1.5000
20251102_151406,scan_angle_0075.50deg_exp149003us_gain1.50_20251102_151406.jpg,75.498047,3906,2043,149003,1.5000
20251102_151406,scan_angle_0076.11deg_exp149003us_gain1.50_20251102_151406.jpg,76.113281,3913,2044,149003,1.5000
20251102_151406,scan_angle_0076.82deg_exp149003us_gain1.50_20251102_151406.jpg,76.816406,3921,2042,149003,1.5000
20251102_151407,scan_angle_0077.70deg_exp149003us_gain1.50_20251102_151407.jpg,77.695312,3931,2042,149003,1.5000
20251102_151407,scan_angle_0078.84deg_exp149003us_gain1.50_20251102_151407.jpg,78.837891,3944,2040,149003,1.5000
20251102_151407,scan_angle_0079.72deg_exp149003us_gain1.50_20251102_151407.jpg,79.716797,3954,2042,149003,1.5000
20251102_151408,scan_angle_0080.77deg_exp149003us_gain1.50_20251102_151408.jpg,80.771484,3966,2043,149003,1.5000
20251102_151408,scan_angle_0082.00deg_exp149003us_gain1.50_20251102_151408.jpg,82.001953,3980,2041,149003,1.5000
20251102_151408,scan_angle_0083.58deg_exp149003us_gain1.50_20251102_151408.jpg,83.583984,3998,2040,149003,1.5000
20251102_151409,scan_angle_0085.43deg_exp149003us_gain1.50_20251102_151409.jpg,85.429688,4019,2042,149003,1.5000
20251102_151409,scan_angle_0085.96deg_exp149003us_gain1.50_20251102_151409.jpg,85.957031,4025,2039,149003,1.5000
20251102_151409,scan_angle_0085.96deg_exp149003us_gain1.50_20251102_151409.jpg,85.957031,4025,2046,149003,1.5000
20251102_151410,scan_angle_0087.19deg_exp149003us_gain1.50_20251102_151410.jpg,87.187500,4039,2044,149003,1.5000
20251102_151410,scan_angle_0089.03deg_exp149003us_gain1.50_20251102_151410.jpg,89.033203,4060,2045,149003,1.5000
20251102_151410,scan_angle_0090.53deg_exp149003us_gain1.50_20251102_151410.jpg,90.527344,4077,2044,149003,1.5000
20251102_151411,scan_angle_0092.29deg_exp149003us_gain1.50_20251102_151411.jpg,92.285156,1,2043,149003,1.5000
20251102_151411,scan_angle_0095.01deg_exp149003us_gain1.50_20251102_151411.jpg,95.009766,32,2044,149003,1.5000
20251102_151411,scan_angle_0096.24deg_exp149003us_gain1.50_20251102_151411.jpg,96.240234,46,2047,149003,1.5000
20251102_151412,scan_angle_0098.96deg_exp149003us_gain1.50_20251102_151412.jpg,98.964844,77,2048,149003,1.5000
20251102_151412,scan_angle_0101.16deg_exp149003us_gain1.50_20251102_151412.jpg,101.162109,102,2048,149003,1.5000
20251102_151412,scan_angle_0104.94deg_exp149003us_gain1.50_20251102_151412.jpg,104.941406,145,2049,149003,1.5000
