timestamp,filename,angle_deg,raw_angle,magnitude,exposure_us,gain
20251022_221053,scan_angle_0000.00deg_exp363775us_gain1.50_20251022_221053.jpg,0.000000,2055,2110,363775,1.5000
20251022_221056,scan_angle_0003.52deg_exp363775us_gain1.50_20251022_221056.jpg,3.515625,2095,2106,363775,1.5000
20251022_221057,scan_angle_0005.71deg_exp363775us_gain1.50_20251022_221057.jpg,5.712891,2120,2106,363775,1.5000
20251022_221058,scan_angle_0008.09deg_exp363775us_gain1.50_20251022_221058.jpg,8.085938,2147,2104,363775,1.5000
20251022_221058,scan_angle_0010.02deg_exp363775us_gain1.50_20251022_221058.jpg,10.019531,2169,2104,363775,1.5000
20251022_221059,scan_angle_0013.10deg_exp363775us_gain1.50_20251022_221059.jpg,13.095703,2204,2103,363775,1.5000
20251022_221100,scan_angle_0014.94deg_exp363775us_gain1.50_20251022_221100.jpg,14.941406,2225,2102,363775,1.5000
20251022_221101,scan_angle_0016.08deg_exp363775us_gain1.50_20251022_221101.jpg,16.083984,2238,2100,363775,1.5000
20251022_221101,scan_angle_0018.11deg_exp363775us_gain1.50_20251022_221101.jpg,18.105469,2261,2102,363775,1.5000
20251022_221102,scan_angle_0020.21deg_exp363775us_gain1.50_20251022_221102.jpg,20.214844,2285,2106,363775,1.5000
20251022_221103,scan_angle_0021.71deg_exp363775us_gain1.50_20251022_221103.jpg,21.708984,2302,2101,363775,1.5000
20251022_221103,scan_angle_0023.64deg_exp363775us_gain1.50_20251022_221103.jpg,23.642578,2324,2100,363775,1.5000
20251022_221104,scan_angle_0026.63deg_exp363775us_gain1.50_20251022_221104.jpg,26.630859,2358,2100,363775,1.5000
20251022_221105,scan_angle_0029.79deg_exp363775us_gain1.50_20251022_221105.jpg,29.794922,2394,2098,363775,1.5000
20251022_221105,scan_angle_0032.52deg_exp363775us_gain1.50_20251022_221105.jpg,32.519531,2425,2098,363775,1.5000
