timestamp,filename,angle_deg,raw_angle,magnitude,exposure_us,gain
20251022_221608,scan_angle_0000.00deg_exp232816us_gain2.25_20251022_221608.jpg,0.000000,1997,2064,232816,2.2500
20251022_221610,scan_angle_0004.75deg_exp232816us_gain2.25_20251022_221610.jpg,4.746094,2051,2066,232816,2.2500
20251022_221611,scan_angle_0006.86deg_exp232816us_gain2.25_20251022_221611.jpg,6.855469,2075,2064,232816,2.2500
20251022_221611,scan_angle_0009.58deg_exp232816us_gain2.25_20251022_221611.jpg,9.580078,2106,2061,232816,2.2500
20251022_221611,scan_angle_0012.04deg_exp232816us_gain2.25_20251022_221611.jpg,12.041016,2134,2062,232816,2.2500
20251022_221612,scan_angle_0016.70deg_exp232816us_gain2.25_20251022_221612.jpg,16.699219,2187,2064,232816,2.2500
20251022_221612,scan_angle_0019.86deg_exp232816us_gain2.25_20251022_221612.jpg,19.863281,2223,2062,232816,2.2500
20251022_221613,scan_angle_0021.18deg_exp232816us_gain2.25_20251022_221613.jpg,21.181641,2238,2060,232816,2.2500
20251022_221613,scan_angle_0023.73deg_exp232816us_gain2.25_20251022_221613.jpg,23.730469,2267,2056,232816,2.2500
20251022_221613,scan_angle_0026.98deg_exp232816us_gain2.25_20251022_221613.jpg,26.982422,2304,2060,232816,2.2500
20251022_221614,scan_angle_0031.64deg_exp232816us_gain2.25_20251022_221614.jpg,31.640625,2357,2056,232816,2.2500
20251022_221614,scan_angle_0034.45deg_exp232816us_gain2.25_20251022_221614.jpg,34.453125,2389,2056,232816,2.2500
20251022_221615,scan_angle_0039.81deg_exp232816us_gain2.25_20251022_221615.jpg,39.814453,2450,2055,232816,2.2500
20251022_221615,scan_angle_0044.03deg_exp232816us_gain2.25_20251022_221615.jpg,44.033203,2498,2057,232816,2.2500
20251022_221616,scan_angle_0048.52deg_exp232816us_gain2.25_20251022_221616.jpg,48.515625,2549,2056,232816,2.2500
20251022_221616,scan_angle_0051.94deg_exp232816us_gain2.25_20251022_221616.jpg,51.943359,2588,2056,232816,2.2500
20251022_221616,scan_angle_0056.78deg_exp232816us_gain2.25_20251022_221616.jpg,56.777344,2643,2057,232816,2.2500
20251022_221624,scan_angle_0058.45deg_exp232816us_gain2.25_20251022_221624.jpg,58.447266,2662,2055,232816,2.2500
20251022_221625,scan_angle_0058.45deg_exp232816us_gain2.25_20251022_221625.jpg,58.447266,2662,2054,232816,2.2500
20251022_221626,scan_angle_0055.37deg_exp232816us_gain2.25_20251022_221626.jpg,55.371094,2627,2057,232816,2.2500
20251022_221626,scan_angle_0042.89deg_exp232816us_gain2.25_20251022_221626.jpg,42.890625,2485,2053,232816,2.2500
20251022_221627,scan_angle_0032.26deg_exp232816us_gain2.25_20251022_221627.jpg,32.255859,2364,2054,232816,2.2500
20251022_221627,scan_angle_0022.59deg_exp232816us_gain2.25_20251022_221627.jpg,22.587891,2254,2054,232816,2.2500
20251022_221627,scan_angle_0013.18deg_exp232816us_gain2.25_20251022_221627.jpg,13.183594,2147,2056,232816,2.2500
20251022_221628,scan_angle_0013.27deg_exp232816us_gain2.25_20251022_221628.jpg,13.271484,2148,2055,232816,2.2500
20251022_221628,scan_angle_0009.05deg_exp232816us_gain2.25_20251022_221628.jpg,9.052734,2100,2058,232816,2.2500
20251022_221628,scan_angle_0359.65deg_exp232816us_gain2.25_20251022_221628.jpg,359.648438,1993,2065,232816,2.2500
20251022_221629,scan_angle_0350.16deg_exp232816us_gain2.25_20251022_221629.jpg,350.156250,1885,2072,232816,2.2500
20251022_221629,scan_angle_0340.49deg_exp232816us_gain2.25_20251022_221629.jpg,340.488281,1775,2074,232816,2.2500
20251022_221630,scan_angle_0327.57deg_exp232816us_gain2.25_20251022_221630.jpg,327.568359,1628,2088,232816,2.2500
20251022_221630,scan_angle_0318.25deg_exp232816us_gain2.25_20251022_221630.jpg,318.251953,1522,2088,232816,2.2500
20251022_221630,scan_angle_0305.51deg_exp232816us_gain2.25_20251022_221630.jpg,305.507812,1377,2096,232816,2.2500
20251022_221631,scan_angle_0296.10deg_exp232816us_gain2.25_20251022_221631.jpg,296.103516,1270,2090,232816,2.2500
20251022_221631,scan_angle_0289.51deg_exp232816us_gain2.25_20251022_221631.jpg,289.511719,1195,2090,232816,2.2500
20251022_221631,scan_angle_0283.45deg_exp232816us_gain2.25_20251022_221631.jpg,283.447266,1126,2088,232816,2.2500
20251022_221632,scan_angle_0279.05deg_exp232816us_gain2.25_20251022_221632.jpg,279.052734,1076,2085,232816,2.2500
20251022_223809,scan_angle_0357.19deg_exp1000000us_gain1.50_20251022_223809.jpg,357.187500,1624,2125,1000000,1.5000
20251022_223812,scan_angle_0002.55deg_exp1000000us_gain1.50_20251022_223812.jpg,2.548828,1685,2106,1000000,1.5000
20251022_223813,scan_angle_0011.34deg_exp1000000us_gain1.50_20251022_223813.jpg,11.337891,1785,2073,1000000,1.5000
