timestamp,filename,angle_deg,raw_angle,magnitude
20251020_224345,scan_angle_0000.00_deg_20251020_224345.jpg,0.000000,740,2042
20251020_224351,scan_angle_0340.58_deg_20251020_224351.jpg,340.576172,519,2033
20251020_224353,scan_angle_0315.00_deg_20251020_224353.jpg,315.000000,228,2022
20251020_224354,scan_angle_0291.80_deg_20251020_224354.jpg,291.796875,4060,2019
20251020_224355,scan_angle_0274.04_deg_20251020_224355.jpg,274.042969,3858,2020
20251020_224356,scan_angle_0254.18_deg_20251020_224356.jpg,254.179688,3632,2027
20251020_224357,scan_angle_0228.69_deg_20251020_224357.jpg,228.691406,3342,2036
20251020_224359,scan_angle_0206.46_deg_20251020_224359.jpg,206.455078,3089,2040
20251020_224400,scan_angle_0179.74_deg_20251020_224400.jpg,179.736328,2785,2024
20251020_224401,scan_angle_0155.30_deg_20251020_224401.jpg,155.302734,2507,2021
20251020_224402,scan_angle_0135.88_deg_20251020_224402.jpg,135.878906,2286,2026
20251020_224403,scan_angle_0115.75_deg_20251020_224403.jpg,115.751953,2057,2039
20251020_224404,scan_angle_0094.66_deg_20251020_224404.jpg,94.658203,1817,2051
20251020_224405,scan_angle_0073.04_deg_20251020_224405.jpg,73.037109,1571,2077
20251020_224406,scan_angle_0054.58_deg_20251020_224406.jpg,54.580078,1361,2076
