timestamp,filename,angle_deg,raw_angle,magnitude,exposure_us,gain
20251023_202625,scan_angle_0309.29deg_exp68706us_gain2.00_20251023_202625.jpg,309.287109,313,2093,68706,2.0000
20251023_202626,scan_angle_0310.17deg_exp68706us_gain2.00_20251023_202626.jpg,310.166016,323,2092,68706,2.0000
20251023_202626,scan_angle_0316.05deg_exp68706us_gain2.00_20251023_202626.jpg,316.054688,390,2092,68706,2.0000
20251023_202626,scan_angle_0319.39deg_exp68706us_gain2.00_20251023_202626.jpg,319.394531,428,2096,68706,2.0000
20251023_202626,scan_angle_0321.15deg_exp68706us_gain2.00_20251023_202626.jpg,321.152344,448,2095,68706,2.0000
20251023_202627,scan_angle_0324.58deg_exp68706us_gain2.00_20251023_202627.jpg,324.580078,487,2099,68706,2.0000
20251023_202627,scan_angle_0329.15deg_exp68706us_gain2.00_20251023_202627.jpg,329.150391,539,2106,68706,2.0000
20251023_202627,scan_angle_0334.60deg_exp68706us_gain2.00_20251023_202627.jpg,334.599609,601,2110,68706,2.0000
20251023_202627,scan_angle_0339.70deg_exp68706us_gain2.00_20251023_202627.jpg,339.697266,659,2112,68706,2.0000
20251023_202628,scan_angle_0346.46deg_exp68706us_gain2.00_20251023_202628.jpg,346.464844,736,2120,68706,2.0000
20251023_202628,scan_angle_0350.24deg_exp68706us_gain2.00_20251023_202628.jpg,350.244141,779,2117,68706,2.0000
20251023_202628,scan_angle_0350.24deg_exp68706us_gain2.00_20251023_202628.jpg,350.244141,779,2117,68706,2.0000
20251023_202629,scan_angle_0350.51deg_exp68706us_gain2.00_20251023_202629.jpg,350.507812,782,2116,68706,2.0000
20251023_202629,scan_angle_0352.44deg_exp68706us_gain2.00_20251023_202629.jpg,352.441406,804,2122,68706,2.0000
20251023_202629,scan_angle_0352.62deg_exp68706us_gain2.00_20251023_202629.jpg,352.617188,806,2124,68706,2.0000
20251023_202629,scan_angle_0354.46deg_exp68706us_gain2.00_20251023_202629.jpg,354.462891,827,2123,68706,2.0000
20251023_202630,scan_angle_0355.08deg_exp68706us_gain2.00_20251023_202630.jpg,355.078125,834,2124,68706,2.0000
20251023_202630,scan_angle_0355.08deg_exp68706us_gain2.00_20251023_202630.jpg,355.078125,834,2125,68706,2.0000
20251023_202630,scan_angle_0355.96deg_exp68706us_gain2.00_20251023_202630.jpg,355.957031,844,2126,68706,2.0000
20251023_202630,scan_angle_0358.07deg_exp68706us_gain2.00_20251023_202630.jpg,358.066406,868,2127,68706,2.0000
20251023_202631,scan_angle_0359.65deg_exp68706us_gain2.00_20251023_202631.jpg,359.648438,886,2129,68706,2.0000
20251023_202631,scan_angle_0002.02deg_exp68706us_gain2.00_20251023_202631.jpg,2.021484,913,2139,68706,2.0000
20251023_202631,scan_angle_0004.75deg_exp68706us_gain2.00_20251023_202631.jpg,4.746094,944,2139,68706,2.0000
20251023_202632,scan_angle_0007.82deg_exp68706us_gain2.00_20251023_202632.jpg,7.822266,979,2128,68706,2.0000
20251023_202632,scan_angle_0008.61deg_exp68706us_gain2.00_20251023_202632.jpg,8.613281,988,2128,68706,2.0000
20251023_202632,scan_angle_0008.79deg_exp68706us_gain2.00_20251023_202632.jpg,8.789062,990,2128,68706,2.0000
20251023_202632,scan_angle_0016.88deg_exp68706us_gain2.00_20251023_202632.jpg,16.875000,1082,2118,68706,2.0000
20251023_202633,scan_angle_0027.25deg_exp68706us_gain2.00_20251023_202633.jpg,27.246094,1200,2139,68706,2.0000
20251023_202633,scan_angle_0035.16deg_exp68706us_gain2.00_20251023_202633.jpg,35.156250,1290,2120,68706,2.0000
20251023_202633,scan_angle_0043.95deg_exp68706us_gain2.00_20251023_202633.jpg,43.945312,1390,2124,68706,2.0000
20251023_202633,scan_angle_0049.13deg_exp68706us_gain2.00_20251023_202633.jpg,49.130859,1449,2121,68706,2.0000
20251023_202634,scan_angle_0051.94deg_exp68706us_gain2.00_20251023_202634.jpg,51.943359,1481,2119,68706,2.0000
20251023_202634,scan_angle_0063.02deg_exp68706us_gain2.00_20251023_202634.jpg,63.017578,1607,2118,68706,2.0000
20251023_202634,scan_angle_0074.53deg_exp68706us_gain2.00_20251023_202634.jpg,74.531250,1738,2099,68706,2.0000
20251023_202635,scan_angle_0076.38deg_exp68706us_gain2.00_20251023_202635.jpg,76.376953,1759,2094,68706,2.0000
20251023_202635,scan_angle_0084.55deg_exp68706us_gain2.00_20251023_202635.jpg,84.550781,1852,2089,68706,2.0000
20251023_202635,scan_angle_0099.23deg_exp68706us_gain2.00_20251023_202635.jpg,99.228516,2019,2065,68706,2.0000
20251023_202635,scan_angle_0105.56deg_exp68706us_gain2.00_20251023_202635.jpg,105.556641,2091,2054,68706,2.0000
20251023_202636,scan_angle_0107.84deg_exp68706us_gain2.00_20251023_202636.jpg,107.841797,2117,2056,68706,2.0000
20251023_202636,scan_angle_0118.30deg_exp68706us_gain2.00_20251023_202636.jpg,118.300781,2236,2050,68706,2.0000
20251023_202636,scan_angle_0129.46deg_exp68706us_gain2.00_20251023_202636.jpg,129.462891,2363,2066,68706,2.0000
20251023_202636,scan_angle_0139.66deg_exp68706us_gain2.00_20251023_202636.jpg,139.658203,2479,2067,68706,2.0000
20251023_202637,scan_angle_0152.93deg_exp68706us_gain2.00_20251023_202637.jpg,152.929688,2630,2068,68706,2.0000
20251023_202637,scan_angle_0167.08deg_exp68706us_gain2.00_20251023_202637.jpg,167.080078,2791,2067,68706,2.0000
20251023_202637,scan_angle_0181.76deg_exp68706us_gain2.00_20251023_202637.jpg,181.757812,2958,2069,68706,2.0000
20251023_202637,scan_angle_0196.26deg_exp68706us_gain2.00_20251023_202637.jpg,196.259766,3123,2071,68706,2.0000
20251023_202638,scan_angle_0209.18deg_exp68706us_gain2.00_20251023_202638.jpg,209.179688,3270,2070,68706,2.0000
20251023_202638,scan_angle_0224.65deg_exp68706us_gain2.00_20251023_202638.jpg,224.648438,3446,2067,68706,2.0000
20251023_202638,scan_angle_0235.99deg_exp68706us_gain2.00_20251023_202638.jpg,235.986328,3575,2061,68706,2.0000
20251023_202639,scan_angle_0243.19deg_exp68706us_gain2.00_20251023_202639.jpg,243.193359,3657,2056,68706,2.0000
20251023_202639,scan_angle_0243.19deg_exp68706us_gain2.00_20251023_202639.jpg,243.193359,3657,2054,68706,2.0000
20251023_202639,scan_angle_0243.19deg_exp68706us_gain2.00_20251023_202639.jpg,243.193359,3657,2057,68706,2.0000
20251023_202639,scan_angle_0250.05deg_exp68706us_gain2.00_20251023_202639.jpg,250.048828,3735,2055,68706,2.0000
20251023_202640,scan_angle_0261.21deg_exp68706us_gain2.00_20251023_202640.jpg,261.210938,3862,2072,68706,2.0000
20251023_202640,scan_angle_0275.01deg_exp68706us_gain2.00_20251023_202640.jpg,275.009766,4019,2068,68706,2.0000
20251023_202640,scan_angle_0292.15deg_exp68706us_gain2.00_20251023_202640.jpg,292.148438,118,2067,68706,2.0000
20251023_202640,scan_angle_0307.71deg_exp68706us_gain2.00_20251023_202640.jpg,307.705078,295,2070,68706,2.0000
20251023_202641,scan_angle_0317.02deg_exp68706us_gain2.00_20251023_202641.jpg,317.021484,401,2073,68706,2.0000
20251023_202641,scan_angle_0325.63deg_exp68706us_gain2.00_20251023_202641.jpg,325.634766,499,2079,68706,2.0000
