timestamp,filename,angle_deg,raw_angle,magnitude
20251020_222633,scan_angle_0187.47_deg_20251020_222633.jpg,187.470703,372,2030
20251020_222635,scan_angle_0191.25_deg_20251020_222635.jpg,191.250000,415,2026
20251020_222636,scan_angle_0198.11_deg_20251020_222636.jpg,198.105469,493,2028
20251020_222637,scan_angle_0205.40_deg_20251020_222637.jpg,205.400391,576,2034
20251020_222638,scan_angle_0213.57_deg_20251020_222638.jpg,213.574219,669,2036
20251020_222639,scan_angle_0219.73_deg_20251020_222639.jpg,219.726562,739,2037
20251020_222641,scan_angle_0228.08_deg_20251020_222641.jpg,228.076172,834,2040
20251020_222642,scan_angle_0237.66_deg_20251020_222642.jpg,237.656250,943,2046
20251020_222643,scan_angle_0248.64_deg_20251020_222643.jpg,248.642578,1068,2052
20251020_222645,scan_angle_0255.15_deg_20251020_222645.jpg,255.146484,1142,2053
20251020_222646,scan_angle_0264.02_deg_20251020_222646.jpg,264.023438,1243,2055
20251020_222647,scan_angle_0272.64_deg_20251020_222647.jpg,272.636719,1341,2058
20251020_222648,scan_angle_0279.32_deg_20251020_222648.jpg,279.316406,1417,2061
20251020_222649,scan_angle_0289.16_deg_20251020_222649.jpg,289.160156,1529,2054
20251020_222650,scan_angle_0299.00_deg_20251020_222650.jpg,299.003906,1641,2057
20251020_222652,scan_angle_0307.88_deg_20251020_222652.jpg,307.880859,1742,2051
20251020_222653,scan_angle_0314.56_deg_20251020_222653.jpg,314.560547,1818,2045
20251020_222656,scan_angle_0322.29_deg_20251020_222656.jpg,322.294922,1906,2044
20251020_222658,scan_angle_0330.47_deg_20251020_222658.jpg,330.468750,1999,2046
20251020_222659,scan_angle_0337.24_deg_20251020_222659.jpg,337.236328,2076,2028
20251020_222700,scan_angle_0346.82_deg_20251020_222700.jpg,346.816406,2185,2025
20251020_222701,scan_angle_0355.78_deg_20251020_222701.jpg,355.781250,2287,2023
20251020_222702,scan_angle_0004.83_deg_20251020_222702.jpg,4.833984,2390,2021
20251020_222703,scan_angle_0014.15_deg_20251020_222703.jpg,14.150391,2496,2023
20251020_222704,scan_angle_0019.07_deg_20251020_222704.jpg,19.072266,2552,2023
20251020_222706,scan_angle_0026.19_deg_20251020_222706.jpg,26.191406,2633,2023
20251020_222707,scan_angle_0036.21_deg_20251020_222707.jpg,36.210938,2747,2026
20251020_222708,scan_angle_0042.28_deg_20251020_222708.jpg,42.275391,2816,2022
20251020_222709,scan_angle_0049.39_deg_20251020_222709.jpg,49.394531,2897,2026
20251020_222710,scan_angle_0055.63_deg_20251020_222710.jpg,55.634766,2968,2031
20251020_222711,scan_angle_0061.52_deg_20251020_222711.jpg,61.523438,3035,2025
20251020_222712,scan_angle_0068.20_deg_20251020_222712.jpg,68.203125,3111,2025
20251020_222712,scan_angle_0076.46_deg_20251020_222712.jpg,76.464844,3205,2027
20251020_222713,scan_angle_0084.90_deg_20251020_222713.jpg,84.902344,3301,2018
20251020_222714,scan_angle_0093.25_deg_20251020_222714.jpg,93.251953,3396,2019
20251020_222715,scan_angle_0097.82_deg_20251020_222715.jpg,97.822266,3448,2020
20251020_222715,scan_angle_0103.45_deg_20251020_222715.jpg,103.447266,3512,2019
20251020_222716,scan_angle_0107.23_deg_20251020_222716.jpg,107.226562,3555,2013
20251020_222717,scan_angle_0112.24_deg_20251020_222717.jpg,112.236328,3612,2014
20251020_222718,scan_angle_0117.42_deg_20251020_222718.jpg,117.421875,3671,2016
20251020_222718,scan_angle_0125.07_deg_20251020_222718.jpg,125.068359,3758,2015
20251020_222719,scan_angle_0132.80_deg_20251020_222719.jpg,132.802734,3846,2012
20251020_222720,scan_angle_0139.31_deg_20251020_222720.jpg,139.306641,3920,2020
20251020_222720,scan_angle_0142.29_deg_20251020_222720.jpg,142.294922,3954,2013
20251020_222721,scan_angle_0147.04_deg_20251020_222721.jpg,147.041016,4008,2010
20251020_222722,scan_angle_0153.90_deg_20251020_222722.jpg,153.896484,4086,2011
20251020_222722,scan_angle_0160.05_deg_20251020_222722.jpg,160.048828,60,2015
20251020_222723,scan_angle_0165.59_deg_20251020_222723.jpg,165.585938,123,2015
20251020_222724,scan_angle_0169.89_deg_20251020_222724.jpg,169.892578,172,2015
20251020_222725,scan_angle_0174.81_deg_20251020_222725.jpg,174.814453,228,2015
20251020_222725,scan_angle_0178.59_deg_20251020_222725.jpg,178.593750,271,2015
20251020_222726,scan_angle_0182.55_deg_20251020_222726.jpg,182.548828,316,2018
20251020_222727,scan_angle_0186.86_deg_20251020_222727.jpg,186.855469,365,2020
20251020_222727,scan_angle_0190.99_deg_20251020_222727.jpg,190.986328,412,2023
20251020_222728,scan_angle_0195.03_deg_20251020_222728.jpg,195.029297,458,2024
20251020_222728,scan_angle_0197.40_deg_20251020_222728.jpg,197.402344,485,2024
20251020_222729,scan_angle_0200.92_deg_20251020_222729.jpg,200.917969,525,2029
20251020_222730,scan_angle_0205.40_deg_20251020_222730.jpg,205.400391,576,2030
