timestamp,filename,angle_deg,raw_angle,magnitude,exposure_us,gain
20251023_211855,scan_angle_0357.89deg_exp1000000us_gain5.00_20251023_211855.jpg,357.890625,1519,2112,1000000,5.0000
20251023_211856,scan_angle_0357.89deg_exp1000000us_gain5.00_20251023_211856.jpg,357.890625,1519,2111,1000000,5.0000
20251023_211856,scan_angle_0357.89deg_exp1000000us_gain5.00_20251023_211856.jpg,357.890625,1519,2111,1000000,5.0000
20251023_211857,scan_angle_0357.89deg_exp1000000us_gain5.00_20251023_211857.jpg,357.890625,1519,2113,1000000,5.0000
20251023_211857,scan_angle_0358.24deg_exp1000000us_gain5.00_20251023_211857.jpg,358.242188,1523,2108,1000000,5.0000
20251023_211857,scan_angle_0359.21deg_exp1000000us_gain5.00_20251023_211857.jpg,359.208984,1534,2104,1000000,5.0000
20251023_211857,scan_angle_0000.53deg_exp1000000us_gain5.00_20251023_211857.jpg,0.527344,1549,2104,1000000,5.0000
20251023_211858,scan_angle_0001.49deg_exp1000000us_gain5.00_20251023_211858.jpg,1.494141,1560,2103,1000000,5.0000
20251023_211858,scan_angle_0002.37deg_exp1000000us_gain5.00_20251023_211858.jpg,2.373047,1570,2115,1000000,5.0000
20251023_211858,scan_angle_0003.43deg_exp1000000us_gain5.00_20251023_211858.jpg,3.427734,1582,2114,1000000,5.0000
20251023_211859,scan_angle_0004.48deg_exp1000000us_gain5.00_20251023_211859.jpg,4.482422,1594,2110,1000000,5.0000
20251023_211859,scan_angle_0005.36deg_exp1000000us_gain5.00_20251023_211859.jpg,5.361328,1604,2098,1000000,5.0000
20251023_211859,scan_angle_0006.59deg_exp1000000us_gain5.00_20251023_211859.jpg,6.591797,1618,2112,1000000,5.0000
20251023_211900,scan_angle_0007.38deg_exp1000000us_gain5.00_20251023_211900.jpg,7.382812,1627,2103,1000000,5.0000
20251023_211900,scan_angle_0009.14deg_exp1000000us_gain5.00_20251023_211900.jpg,9.140625,1647,2109,1000000,5.0000
20251023_211900,scan_angle_0010.55deg_exp1000000us_gain5.00_20251023_211900.jpg,10.546875,1663,2110,1000000,5.0000
20251023_211901,scan_angle_0011.60deg_exp1000000us_gain5.00_20251023_211901.jpg,11.601562,1675,2104,1000000,5.0000
20251023_211901,scan_angle_0011.95deg_exp1000000us_gain5.00_20251023_211901.jpg,11.953125,1679,2099,1000000,5.0000
20251023_211901,scan_angle_0013.27deg_exp1000000us_gain5.00_20251023_211901.jpg,13.271484,1694,2107,1000000,5.0000
20251023_211902,scan_angle_0015.38deg_exp1000000us_gain5.00_20251023_211902.jpg,15.380859,1718,2094,1000000,5.0000
20251023_211902,scan_angle_0016.61deg_exp1000000us_gain5.00_20251023_211902.jpg,16.611328,1732,2104,1000000,5.0000
20251023_211902,scan_angle_0017.75deg_exp1000000us_gain5.00_20251023_211902.jpg,17.753906,1745,2092,1000000,5.0000
20251023_211903,scan_angle_0019.07deg_exp1000000us_gain5.00_20251023_211903.jpg,19.072266,1760,2093,1000000,5.0000
20251023_211903,scan_angle_0020.57deg_exp1000000us_gain5.00_20251023_211903.jpg,20.566406,1777,2077,1000000,5.0000
20251023_211903,scan_angle_0021.97deg_exp1000000us_gain5.00_20251023_211903.jpg,21.972656,1793,2085,1000000,5.0000
20251023_211904,scan_angle_0023.38deg_exp1000000us_gain5.00_20251023_211904.jpg,23.378906,1809,2083,1000000,5.0000
20251023_211904,scan_angle_0024.61deg_exp1000000us_gain5.00_20251023_211904.jpg,24.609375,1823,2077,1000000,5.0000
20251023_211904,scan_angle_0026.28deg_exp1000000us_gain5.00_20251023_211904.jpg,26.279297,1842,2081,1000000,5.0000
20251023_211905,scan_angle_0028.30deg_exp1000000us_gain5.00_20251023_211905.jpg,28.300781,1865,2084,1000000,5.0000
20251023_211905,scan_angle_0029.36deg_exp1000000us_gain5.00_20251023_211905.jpg,29.355469,1877,2078,1000000,5.0000
20251023_211905,scan_angle_0030.23deg_exp1000000us_gain5.00_20251023_211905.jpg,30.234375,1887,2079,1000000,5.0000
20251023_211906,scan_angle_0031.90deg_exp1000000us_gain5.00_20251023_211906.jpg,31.904297,1906,2077,1000000,5.0000
20251023_211906,scan_angle_0032.08deg_exp1000000us_gain5.00_20251023_211906.jpg,32.080078,1908,2072,1000000,5.0000
20251023_211906,scan_angle_0033.75deg_exp1000000us_gain5.00_20251023_211906.jpg,33.750000,1927,2072,1000000,5.0000
20251023_211907,scan_angle_0035.33deg_exp1000000us_gain5.00_20251023_211907.jpg,35.332031,1945,2071,1000000,5.0000
20251023_211907,scan_angle_0036.74deg_exp1000000us_gain5.00_20251023_211907.jpg,36.738281,1961,2068,1000000,5.0000
20251023_211907,scan_angle_0038.50deg_exp1000000us_gain5.00_20251023_211907.jpg,38.496094,1981,2062,1000000,5.0000
20251023_211908,scan_angle_0041.31deg_exp1000000us_gain5.00_20251023_211908.jpg,41.308594,2013,2066,1000000,5.0000
20251023_211908,scan_angle_0043.15deg_exp1000000us_gain5.00_20251023_211908.jpg,43.154297,2034,2063,1000000,5.0000
20251023_211908,scan_angle_0044.91deg_exp1000000us_gain5.00_20251023_211908.jpg,44.912109,2054,2058,1000000,5.0000
20251023_211909,scan_angle_0046.41deg_exp1000000us_gain5.00_20251023_211909.jpg,46.406250,2071,2056,1000000,5.0000
20251023_211909,scan_angle_0047.99deg_exp1000000us_gain5.00_20251023_211909.jpg,47.988281,2089,2053,1000000,5.0000
20251023_211909,scan_angle_0049.04deg_exp1000000us_gain5.00_20251023_211909.jpg,49.042969,2101,2048,1000000,5.0000
20251023_211910,scan_angle_0051.77deg_exp1000000us_gain5.00_20251023_211910.jpg,51.767578,2132,2075,1000000,5.0000
20251023_211910,scan_angle_0052.29deg_exp1000000us_gain5.00_20251023_211910.jpg,52.294922,2138,2059,1000000,5.0000
20251023_211910,scan_angle_0052.38deg_exp1000000us_gain5.00_20251023_211910.jpg,52.382812,2139,2064,1000000,5.0000
20251023_211911,scan_angle_0056.60deg_exp1000000us_gain5.00_20251023_211911.jpg,56.601562,2187,2059,1000000,5.0000
20251023_211911,scan_angle_0059.59deg_exp1000000us_gain5.00_20251023_211911.jpg,59.589844,2221,2076,1000000,5.0000
20251023_211911,scan_angle_0062.75deg_exp1000000us_gain5.00_20251023_211911.jpg,62.753906,2257,2067,1000000,5.0000
20251023_211912,scan_angle_0066.53deg_exp1000000us_gain5.00_20251023_211912.jpg,66.533203,2300,2066,1000000,5.0000
20251023_211912,scan_angle_0068.55deg_exp1000000us_gain5.00_20251023_211912.jpg,68.554688,2323,2068,1000000,5.0000
20251023_211912,scan_angle_0070.31deg_exp1000000us_gain5.00_20251023_211912.jpg,70.312500,2343,2069,1000000,5.0000
20251023_211913,scan_angle_0073.92deg_exp1000000us_gain5.00_20251023_211913.jpg,73.916016,2384,2069,1000000,5.0000
20251023_211913,scan_angle_0077.78deg_exp1000000us_gain5.00_20251023_211913.jpg,77.783203,2428,2069,1000000,5.0000
20251023_211913,scan_angle_0080.16deg_exp1000000us_gain5.00_20251023_211913.jpg,80.156250,2455,2068,1000000,5.0000
20251023_211914,scan_angle_0082.00deg_exp1000000us_gain5.00_20251023_211914.jpg,82.001953,2476,2068,1000000,5.0000
20251023_211914,scan_angle_0084.64deg_exp1000000us_gain5.00_20251023_211914.jpg,84.638672,2506,2064,1000000,5.0000
20251023_211914,scan_angle_0086.92deg_exp1000000us_gain5.00_20251023_211914.jpg,86.923828,2532,2068,1000000,5.0000
20251023_211915,scan_angle_0089.82deg_exp1000000us_gain5.00_20251023_211915.jpg,89.824219,2565,2071,1000000,5.0000
20251023_211915,scan_angle_0092.99deg_exp1000000us_gain5.00_20251023_211915.jpg,92.988281,2601,2068,1000000,5.0000
20251023_211915,scan_angle_0096.59deg_exp1000000us_gain5.00_20251023_211915.jpg,96.591797,2642,2069,1000000,5.0000
20251023_211915,scan_angle_0099.32deg_exp1000000us_gain5.00_20251023_211915.jpg,99.316406,2673,2070,1000000,5.0000
20251023_211916,scan_angle_0101.16deg_exp1000000us_gain5.00_20251023_211916.jpg,101.162109,2694,2070,1000000,5.0000
20251023_211916,scan_angle_0105.38deg_exp1000000us_gain5.00_20251023_211916.jpg,105.380859,2742,2075,1000000,5.0000
20251023_211916,scan_angle_0108.63deg_exp1000000us_gain5.00_20251023_211916.jpg,108.632812,2779,2068,1000000,5.0000
20251023_211917,scan_angle_0111.09deg_exp1000000us_gain5.00_20251023_211917.jpg,111.093750,2807,2069,1000000,5.0000
20251023_211917,scan_angle_0112.50deg_exp1000000us_gain5.00_20251023_211917.jpg,112.500000,2823,2070,1000000,5.0000
20251023_211917,scan_angle_0116.81deg_exp1000000us_gain5.00_20251023_211917.jpg,116.806641,2872,2070,1000000,5.0000
20251023_211918,scan_angle_0123.31deg_exp1000000us_gain5.00_20251023_211918.jpg,123.310547,2946,2078,1000000,5.0000
20251023_211918,scan_angle_0125.95deg_exp1000000us_gain5.00_20251023_211918.jpg,125.947266,2976,2081,1000000,5.0000
20251023_211918,scan_angle_0129.38deg_exp1000000us_gain5.00_20251023_211918.jpg,129.375000,3015,2081,1000000,5.0000
20251023_211919,scan_angle_0133.86deg_exp1000000us_gain5.00_20251023_211919.jpg,133.857422,3066,2080,1000000,5.0000
20251023_211919,scan_angle_0136.23deg_exp1000000us_gain5.00_20251023_211919.jpg,136.230469,3093,2081,1000000,5.0000
20251023_211919,scan_angle_0138.96deg_exp1000000us_gain5.00_20251023_211919.jpg,138.955078,3124,2080,1000000,5.0000
20251023_211920,scan_angle_0141.77deg_exp1000000us_gain5.00_20251023_211920.jpg,141.767578,3156,2082,1000000,5.0000
20251023_211920,scan_angle_0144.14deg_exp1000000us_gain5.00_20251023_211920.jpg,144.140625,3183,2082,1000000,5.0000
20251023_211920,scan_angle_0147.57deg_exp1000000us_gain5.00_20251023_211920.jpg,147.568359,3222,2083,1000000,5.0000
20251023_211921,scan_angle_0150.21deg_exp1000000us_gain5.00_20251023_211921.jpg,150.205078,3252,2076,1000000,5.0000
20251023_211921,scan_angle_0154.25deg_exp1000000us_gain5.00_20251023_211921.jpg,154.248047,3298,2078,1000000,5.0000
20251023_211921,scan_angle_0158.73deg_exp1000000us_gain5.00_20251023_211921.jpg,158.730469,3349,2079,1000000,5.0000
20251023_211922,scan_angle_0163.30deg_exp1000000us_gain5.00_20251023_211922.jpg,163.300781,3401,2079,1000000,5.0000
20251023_211922,scan_angle_0167.17deg_exp1000000us_gain5.00_20251023_211922.jpg,167.167969,3445,2076,1000000,5.0000
20251023_211922,scan_angle_0168.31deg_exp1000000us_gain5.00_20251023_211922.jpg,168.310547,3458,2073,1000000,5.0000
20251023_211923,scan_angle_0168.31deg_exp1000000us_gain5.00_20251023_211923.jpg,168.310547,3458,2074,1000000,5.0000
20251023_211924,scan_angle_0168.75deg_exp1000000us_gain5.00_20251023_211924.jpg,168.750000,3463,2072,1000000,5.0000
20251023_211924,scan_angle_0171.65deg_exp1000000us_gain5.00_20251023_211924.jpg,171.650391,3496,2069,1000000,5.0000
20251023_211925,scan_angle_0173.67deg_exp1000000us_gain5.00_20251023_211925.jpg,173.671875,3519,2067,1000000,5.0000
20251023_211925,scan_angle_0176.22deg_exp1000000us_gain5.00_20251023_211925.jpg,176.220703,3548,2068,1000000,5.0000
20251023_211925,scan_angle_0178.77deg_exp1000000us_gain5.00_20251023_211925.jpg,178.769531,3577,2066,1000000,5.0000
20251023_211925,scan_angle_0180.62deg_exp1000000us_gain5.00_20251023_211925.jpg,180.615234,3598,2062,1000000,5.0000
20251023_211926,scan_angle_0184.31deg_exp1000000us_gain5.00_20251023_211926.jpg,184.306641,3640,2065,1000000,5.0000
20251023_211926,scan_angle_0188.09deg_exp1000000us_gain5.00_20251023_211926.jpg,188.085938,3683,2059,1000000,5.0000
20251023_211926,scan_angle_0191.69deg_exp1000000us_gain5.00_20251023_211926.jpg,191.689453,3724,2060,1000000,5.0000
20251023_211927,scan_angle_0196.52deg_exp1000000us_gain5.00_20251023_211927.jpg,196.523438,3779,2057,1000000,5.0000
20251023_211927,scan_angle_0200.65deg_exp1000000us_gain5.00_20251023_211927.jpg,200.654297,3826,2055,1000000,5.0000
20251023_211927,scan_angle_0205.05deg_exp1000000us_gain5.00_20251023_211927.jpg,205.048828,3876,2056,1000000,5.0000
20251023_211928,scan_angle_0209.97deg_exp1000000us_gain5.00_20251023_211928.jpg,209.970703,3932,2054,1000000,5.0000
20251023_211928,scan_angle_0213.66deg_exp1000000us_gain5.00_20251023_211928.jpg,213.662109,3974,2053,1000000,5.0000
