timestamp,filename,angle_deg,raw_angle,magnitude
20251021_175543,scan_angle_0000.00_deg_20251021_175543.jpg,0.000000,3801,1986
20251021_175544,scan_angle_0005.10_deg_20251021_175544.jpg,5.097656,3859,1982
20251021_175545,scan_angle_0011.43_deg_20251021_175545.jpg,11.425781,3931,1977
20251021_175546,scan_angle_0017.23_deg_20251021_175546.jpg,17.226562,3997,1972
20251021_175546,scan_angle_0023.73_deg_20251021_175546.jpg,23.730469,4071,1961
20251021_175547,scan_angle_0028.92_deg_20251021_175547.jpg,28.916016,34,1963
20251021_175548,scan_angle_0034.72_deg_20251021_175548.jpg,34.716797,100,1964
20251021_175548,scan_angle_0042.19_deg_20251021_175548.jpg,42.187500,185,1963
20251021_175549,scan_angle_0048.16_deg_20251021_175549.jpg,48.164062,253,1960
20251021_175549,scan_angle_0055.81_deg_20251021_175549.jpg,55.810547,340,1958
20251021_175550,scan_angle_0061.88_deg_20251021_175550.jpg,61.875000,409,1966
20251021_175550,scan_angle_0069.70_deg_20251021_175550.jpg,69.697266,498,1961
20251021_175551,scan_angle_0078.66_deg_20251021_175551.jpg,78.662109,600,1970
20251021_175551,scan_angle_0086.57_deg_20251021_175551.jpg,86.572266,690,1980
20251021_175551,scan_angle_0094.48_deg_20251021_175551.jpg,94.482422,780,1979
20251021_175552,scan_angle_0104.50_deg_20251021_175552.jpg,104.501953,894,1995
20251021_175552,scan_angle_0115.40_deg_20251021_175552.jpg,115.400391,1018,2002
20251021_175553,scan_angle_0127.53_deg_20251021_175553.jpg,127.529297,1156,2015
20251021_175553,scan_angle_0142.12_deg_20251021_175553.jpg,142.119141,1322,2039
20251021_175554,scan_angle_0152.58_deg_20251021_175554.jpg,152.578125,1441,2036
20251021_175554,scan_angle_0162.77_deg_20251021_175554.jpg,162.773438,1557,2033
20251021_175555,scan_angle_0173.58_deg_20251021_175555.jpg,173.583984,1680,2025
20251021_175555,scan_angle_0182.02_deg_20251021_175555.jpg,182.021484,1776,2014
20251021_175556,scan_angle_0192.48_deg_20251021_175556.jpg,192.480469,1895,2009
20251021_175556,scan_angle_0204.43_deg_20251021_175556.jpg,204.433594,2031,1999
20251021_175557,scan_angle_0215.33_deg_20251021_175557.jpg,215.332031,2155,1982
20251021_175557,scan_angle_0224.38_deg_20251021_175557.jpg,224.384766,2258,1977
