timestamp,filename,angle_deg,raw_angle,magnitude,exposure_us,gain
20251022_210036,scan_angle_0000.00deg_exp149003us_gain1.00_20251022_210036.jpg,0.000000,2669,2067,149003,1.0000
20251022_210038,scan_angle_0347.26deg_exp149003us_gain1.00_20251022_210038.jpg,347.255859,2524,2067,149003,1.0000
20251022_210039,scan_angle_0329.06deg_exp149003us_gain1.00_20251022_210039.jpg,329.062500,2317,2068,149003,1.0000
20251022_210040,scan_angle_0317.46deg_exp149003us_gain1.00_20251022_210040.jpg,317.460938,2185,2075,149003,1.0000
20251022_210041,scan_angle_0306.65deg_exp149003us_gain1.00_20251022_210041.jpg,306.650391,2062,2072,149003,1.0000
20251022_210042,scan_angle_0294.96deg_exp149003us_gain1.00_20251022_210042.jpg,294.960938,1929,2087,149003,1.0000
20251022_210043,scan_angle_0283.10deg_exp149003us_gain1.00_20251022_210043.jpg,283.095703,1794,2084,149003,1.0000
20251022_210043,scan_angle_0270.18deg_exp149003us_gain1.00_20251022_210043.jpg,270.175781,1647,2119,149003,1.0000
20251022_210044,scan_angle_0260.95deg_exp149003us_gain1.00_20251022_210044.jpg,260.947266,1542,2110,149003,1.0000
20251022_210045,scan_angle_0249.79deg_exp149003us_gain1.00_20251022_210045.jpg,249.785156,1415,2127,149003,1.0000
20251022_210045,scan_angle_0241.52deg_exp149003us_gain1.00_20251022_210045.jpg,241.523438,1321,2128,149003,1.0000
20251022_210046,scan_angle_0231.59deg_exp149003us_gain1.00_20251022_210046.jpg,231.591797,1208,2109,149003,1.0000
20251022_210046,scan_angle_0224.03deg_exp149003us_gain1.00_20251022_210046.jpg,224.033203,1122,2106,149003,1.0000
20251022_210047,scan_angle_0214.72deg_exp149003us_gain1.00_20251022_210047.jpg,214.716797,1016,2099,149003,1.0000
20251022_210047,scan_angle_0204.96deg_exp149003us_gain1.00_20251022_210047.jpg,204.960938,905,2095,149003,1.0000
20251022_210048,scan_angle_0196.70deg_exp149003us_gain1.00_20251022_210048.jpg,196.699219,811,2086,149003,1.0000
20251022_210048,scan_angle_0188.09deg_exp149003us_gain1.00_20251022_210048.jpg,188.085938,713,2080,149003,1.0000
20251022_210049,scan_angle_0178.59deg_exp149003us_gain1.00_20251022_210049.jpg,178.593750,605,2080,149003,1.0000
20251022_210049,scan_angle_0169.37deg_exp149003us_gain1.00_20251022_210049.jpg,169.365234,500,2073,149003,1.0000
20251022_210050,scan_angle_0160.49deg_exp149003us_gain1.00_20251022_210050.jpg,160.488281,399,2065,149003,1.0000
20251022_210050,scan_angle_0146.51deg_exp149003us_gain1.00_20251022_210050.jpg,146.513672,240,2059,149003,1.0000
20251022_210051,scan_angle_0137.81deg_exp149003us_gain1.00_20251022_210051.jpg,137.812500,141,2056,149003,1.0000
20251022_210051,scan_angle_0127.53deg_exp149003us_gain1.00_20251022_210051.jpg,127.529297,24,2054,149003,1.0000
20251022_210052,scan_angle_0117.60deg_exp149003us_gain1.00_20251022_210052.jpg,117.597656,4007,2052,149003,1.0000
20251022_210052,scan_angle_0107.67deg_exp149003us_gain1.00_20251022_210052.jpg,107.666016,3894,2051,149003,1.0000
20251022_210053,scan_angle_0098.09deg_exp149003us_gain1.00_20251022_210053.jpg,98.085938,3785,2054,149003,1.0000
20251022_210053,scan_angle_0087.28deg_exp149003us_gain1.00_20251022_210053.jpg,87.275391,3662,2057,149003,1.0000
20251022_210054,scan_angle_0078.31deg_exp149003us_gain1.00_20251022_210054.jpg,78.310547,3560,2057,149003,1.0000
20251022_210054,scan_angle_0068.29deg_exp149003us_gain1.00_20251022_210054.jpg,68.291016,3446,2062,149003,1.0000
20251022_210055,scan_angle_0055.63deg_exp149003us_gain1.00_20251022_210055.jpg,55.634766,3302,2062,149003,1.0000
20251022_210055,scan_angle_0044.56deg_exp149003us_gain1.00_20251022_210055.jpg,44.560547,3176,2063,149003,1.0000
20251022_210056,scan_angle_0033.31deg_exp149003us_gain1.00_20251022_210056.jpg,33.310547,3048,2062,149003,1.0000
20251022_210056,scan_angle_0023.29deg_exp149003us_gain1.00_20251022_210056.jpg,23.291016,2934,2063,149003,1.0000
20251022_210057,scan_angle_0014.41deg_exp149003us_gain1.00_20251022_210057.jpg,14.414062,2833,2058,149003,1.0000
20251022_210057,scan_angle_0008.70deg_exp149003us_gain1.00_20251022_210057.jpg,8.701172,2768,2059,149003,1.0000
20251022_210058,scan_angle_0004.57deg_exp149003us_gain1.00_20251022_210058.jpg,4.570312,2721,2062,149003,1.0000
20251022_210059,scan_angle_0359.65deg_exp149003us_gain1.00_20251022_210059.jpg,359.648438,2665,2060,149003,1.0000
