timestamp,filename,angle_deg,raw_angle,magnitude,exposure_us,gain
20251023_200725,scan_angle_0334.25deg_exp20000us_gain1.50_20251023_200725.jpg,334.248047,1119,2110,20000,1.5000
20251023_200726,scan_angle_0336.71deg_exp20000us_gain1.50_20251023_200726.jpg,336.708984,1147,2104,20000,1.5000
20251023_200727,scan_angle_0337.59deg_exp20000us_gain1.50_20251023_200727.jpg,337.587891,1157,2112,20000,1.5000
20251023_200727,scan_angle_0338.29deg_exp20000us_gain1.50_20251023_200727.jpg,338.291016,1165,2115,20000,1.5000
20251023_200727,scan_angle_0338.99deg_exp20000us_gain1.50_20251023_200727.jpg,338.994141,1173,2115,20000,1.5000
20251023_200728,scan_angle_0340.75deg_exp20000us_gain1.50_20251023_200728.jpg,340.751953,1193,2109,20000,1.5000
20251023_200728,scan_angle_0342.42deg_exp20000us_gain1.50_20251023_200728.jpg,342.421875,1212,2115,20000,1.5000
20251023_200729,scan_angle_0343.12deg_exp20000us_gain1.50_20251023_200729.jpg,343.125000,1220,2115,20000,1.5000
20251023_200729,scan_angle_0343.56deg_exp20000us_gain1.50_20251023_200729.jpg,343.564453,1225,2109,20000,1.5000
20251023_200729,scan_angle_0344.18deg_exp20000us_gain1.50_20251023_200729.jpg,344.179688,1232,2111,20000,1.5000
20251023_200729,scan_angle_0345.23deg_exp20000us_gain1.50_20251023_200729.jpg,345.234375,1244,2109,20000,1.5000
20251023_200730,scan_angle_0346.20deg_exp20000us_gain1.50_20251023_200730.jpg,346.201172,1255,2112,20000,1.5000
20251023_200730,scan_angle_0347.52deg_exp20000us_gain1.50_20251023_200730.jpg,347.519531,1270,2110,20000,1.5000
20251023_200730,scan_angle_0349.54deg_exp20000us_gain1.50_20251023_200730.jpg,349.541016,1293,2119,20000,1.5000
20251023_200731,scan_angle_0351.12deg_exp20000us_gain1.50_20251023_200731.jpg,351.123047,1311,2123,20000,1.5000
20251023_200731,scan_angle_0352.79deg_exp20000us_gain1.50_20251023_200731.jpg,352.792969,1330,2127,20000,1.5000
20251023_200731,scan_angle_0354.81deg_exp20000us_gain1.50_20251023_200731.jpg,354.814453,1353,2126,20000,1.5000
20251023_200731,scan_angle_0356.75deg_exp20000us_gain1.50_20251023_200731.jpg,356.748047,1375,2127,20000,1.5000
20251023_200732,scan_angle_0359.21deg_exp20000us_gain1.50_20251023_200732.jpg,359.208984,1403,2132,20000,1.5000
20251023_200732,scan_angle_0001.41deg_exp20000us_gain1.50_20251023_200732.jpg,1.406250,1428,2132,20000,1.5000
20251023_200732,scan_angle_0004.66deg_exp20000us_gain1.50_20251023_200732.jpg,4.658203,1465,2124,20000,1.5000
20251023_200733,scan_angle_0007.47deg_exp20000us_gain1.50_20251023_200733.jpg,7.470703,1497,2117,20000,1.5000
20251023_200733,scan_angle_0010.02deg_exp20000us_gain1.50_20251023_200733.jpg,10.019531,1526,2114,20000,1.5000
20251023_200733,scan_angle_0012.39deg_exp20000us_gain1.50_20251023_200733.jpg,12.392578,1553,2115,20000,1.5000
20251023_200733,scan_angle_0015.73deg_exp20000us_gain1.50_20251023_200733.jpg,15.732422,1591,2117,20000,1.5000
20251023_200734,scan_angle_0017.93deg_exp20000us_gain1.50_20251023_200734.jpg,17.929688,1616,2115,20000,1.5000
20251023_200734,scan_angle_0020.57deg_exp20000us_gain1.50_20251023_200734.jpg,20.566406,1646,2115,20000,1.5000
20251023_200734,scan_angle_0021.97deg_exp20000us_gain1.50_20251023_200734.jpg,21.972656,1662,2114,20000,1.5000
