timestamp,filename,angle_deg,raw_angle,magnitude,exposure_us,gain
20251022_213157,scan_angle_0060.21deg_exp1000000us_gain1.50_20251022_213157.jpg,60.205078,1180,2080,1000000,1.5000
20251022_213159,scan_angle_0048.52deg_exp1000000us_gain1.50_20251022_213159.jpg,48.515625,1047,2075,1000000,1.5000
20251022_213200,scan_angle_0041.13deg_exp1000000us_gain1.50_20251022_213200.jpg,41.132812,963,2070,1000000,1.5000
20251022_213200,scan_angle_0032.17deg_exp1000000us_gain1.50_20251022_213200.jpg,32.167969,861,2063,1000000,1.5000
20251022_213201,scan_angle_0026.81deg_exp1000000us_gain1.50_20251022_213201.jpg,26.806641,800,2059,1000000,1.5000
20251022_213201,scan_angle_0021.01deg_exp1000000us_gain1.50_20251022_213201.jpg,21.005859,734,2055,1000000,1.5000
20251022_213202,scan_angle_0015.21deg_exp1000000us_gain1.50_20251022_213202.jpg,15.205078,668,2053,1000000,1.5000
20251022_213202,scan_angle_0010.99deg_exp1000000us_gain1.50_20251022_213202.jpg,10.986328,620,2050,1000000,1.5000
20251022_213203,scan_angle_0005.98deg_exp1000000us_gain1.50_20251022_213203.jpg,5.976562,563,2045,1000000,1.5000
20251022_213203,scan_angle_0001.32deg_exp1000000us_gain1.50_20251022_213203.jpg,1.318359,510,2042,1000000,1.5000
20251022_213203,scan_angle_0358.15deg_exp1000000us_gain1.50_20251022_213203.jpg,358.154297,474,2040,1000000,1.5000
20251022_213204,scan_angle_0355.52deg_exp1000000us_gain1.50_20251022_213204.jpg,355.517578,444,2040,1000000,1.5000
20251022_213204,scan_angle_0350.60deg_exp1000000us_gain1.50_20251022_213204.jpg,350.595703,388,2037,1000000,1.5000
20251022_213205,scan_angle_0342.77deg_exp1000000us_gain1.50_20251022_213205.jpg,342.773438,299,2034,1000000,1.5000
20251022_213205,scan_angle_0338.99deg_exp1000000us_gain1.50_20251022_213205.jpg,338.994141,256,2031,1000000,1.5000
20251022_213206,scan_angle_0332.93deg_exp1000000us_gain1.50_20251022_213206.jpg,332.929688,187,2027,1000000,1.5000
20251022_213206,scan_angle_0323.61deg_exp1000000us_gain1.50_20251022_213206.jpg,323.613281,81,2032,1000000,1.5000
20251022_213207,scan_angle_0315.53deg_exp1000000us_gain1.50_20251022_213207.jpg,315.527344,4085,2030,1000000,1.5000
20251022_213207,scan_angle_0306.04deg_exp1000000us_gain1.50_20251022_213207.jpg,306.035156,3977,2030,1000000,1.5000
20251022_213208,scan_angle_0294.35deg_exp1000000us_gain1.50_20251022_213208.jpg,294.345703,3844,2033,1000000,1.5000
20251022_213208,scan_angle_0289.07deg_exp1000000us_gain1.50_20251022_213208.jpg,289.072266,3784,2035,1000000,1.5000
20251022_213209,scan_angle_0276.86deg_exp1000000us_gain1.50_20251022_213209.jpg,276.855469,3645,2039,1000000,1.5000
20251022_213209,scan_angle_0267.71deg_exp1000000us_gain1.50_20251022_213209.jpg,267.714844,3541,2041,1000000,1.5000
20251022_213210,scan_angle_0255.67deg_exp1000000us_gain1.50_20251022_213210.jpg,255.673828,3404,2047,1000000,1.5000
20251022_213210,scan_angle_0241.79deg_exp1000000us_gain1.50_20251022_213210.jpg,241.787109,3246,2048,1000000,1.5000
20251022_213211,scan_angle_0228.43deg_exp1000000us_gain1.50_20251022_213211.jpg,228.427734,3094,2046,1000000,1.5000
20251022_213211,scan_angle_0222.45deg_exp1000000us_gain1.50_20251022_213211.jpg,222.451172,3026,2045,1000000,1.5000
20251022_213212,scan_angle_0212.17deg_exp1000000us_gain1.50_20251022_213212.jpg,212.167969,2909,2041,1000000,1.5000
