timestamp,filename,angle_deg,raw_angle,magnitude,exposure_us,gain
20251023_200051,scan_angle_0308.67deg_exp20000us_gain1.50_20251023_200051.jpg,308.671875,329,2070,20000,1.5000
20251023_200054,scan_angle_0309.90deg_exp20000us_gain1.50_20251023_200054.jpg,309.902344,343,2077,20000,1.5000
20251023_200055,scan_angle_0310.78deg_exp20000us_gain1.50_20251023_200055.jpg,310.781250,353,2077,20000,1.5000
20251023_200055,scan_angle_0311.75deg_exp20000us_gain1.50_20251023_200055.jpg,311.748047,364,2081,20000,1.5000
20251023_200055,scan_angle_0312.10deg_exp20000us_gain1.50_20251023_200055.jpg,312.099609,368,2081,20000,1.5000
20251023_200056,scan_angle_0312.80deg_exp20000us_gain1.50_20251023_200056.jpg,312.802734,376,2080,20000,1.5000
20251023_200056,scan_angle_0313.59deg_exp20000us_gain1.50_20251023_200056.jpg,313.593750,385,2083,20000,1.5000
20251023_200056,scan_angle_0313.95deg_exp20000us_gain1.50_20251023_200056.jpg,313.945312,389,2081,20000,1.5000
20251023_200057,scan_angle_0314.56deg_exp20000us_gain1.50_20251023_200057.jpg,314.560547,396,2082,20000,1.5000
20251023_200057,scan_angle_0315.62deg_exp20000us_gain1.50_20251023_200057.jpg,315.615234,408,2084,20000,1.5000
20251023_200057,scan_angle_0316.32deg_exp20000us_gain1.50_20251023_200057.jpg,316.318359,416,2085,20000,1.5000
20251023_200058,scan_angle_0317.02deg_exp20000us_gain1.50_20251023_200058.jpg,317.021484,424,2084,20000,1.5000
20251023_200058,scan_angle_0317.37deg_exp20000us_gain1.50_20251023_200058.jpg,317.373047,428,2084,20000,1.5000
20251023_200058,scan_angle_0318.43deg_exp20000us_gain1.50_20251023_200058.jpg,318.427734,440,2085,20000,1.5000
20251023_200059,scan_angle_0319.57deg_exp20000us_gain1.50_20251023_200059.jpg,319.570312,453,2086,20000,1.5000
20251023_200059,scan_angle_0320.45deg_exp20000us_gain1.50_20251023_200059.jpg,320.449219,463,2089,20000,1.5000
20251023_200059,scan_angle_0321.15deg_exp20000us_gain1.50_20251023_200059.jpg,321.152344,471,2089,20000,1.5000
20251023_200059,scan_angle_0321.86deg_exp20000us_gain1.50_20251023_200059.jpg,321.855469,479,2090,20000,1.5000
20251023_200100,scan_angle_0322.21deg_exp20000us_gain1.50_20251023_200100.jpg,322.207031,483,2091,20000,1.5000
20251023_200100,scan_angle_0322.82deg_exp20000us_gain1.50_20251023_200100.jpg,322.822266,490,2091,20000,1.5000
20251023_200100,scan_angle_0323.53deg_exp20000us_gain1.50_20251023_200100.jpg,323.525391,498,2090,20000,1.5000
20251023_200101,scan_angle_0323.88deg_exp20000us_gain1.50_20251023_200101.jpg,323.876953,502,2091,20000,1.5000
20251023_200101,scan_angle_0324.14deg_exp20000us_gain1.50_20251023_200101.jpg,324.140625,505,2092,20000,1.5000
20251023_200101,scan_angle_0324.49deg_exp20000us_gain1.50_20251023_200101.jpg,324.492188,509,2090,20000,1.5000
20251023_200101,scan_angle_0324.84deg_exp20000us_gain1.50_20251023_200101.jpg,324.843750,513,2089,20000,1.5000
20251023_200102,scan_angle_0326.07deg_exp20000us_gain1.50_20251023_200102.jpg,326.074219,527,2089,20000,1.5000
20251023_200102,scan_angle_0328.18deg_exp20000us_gain1.50_20251023_200102.jpg,328.183594,551,2090,20000,1.5000
20251023_200103,scan_angle_0329.94deg_exp20000us_gain1.50_20251023_200103.jpg,329.941406,571,2091,20000,1.5000
20251023_200103,scan_angle_0331.08deg_exp20000us_gain1.50_20251023_200103.jpg,331.083984,584,2090,20000,1.5000
20251023_200104,scan_angle_0332.40deg_exp20000us_gain1.50_20251023_200104.jpg,332.402344,599,2092,20000,1.5000
20251023_200104,scan_angle_0333.98deg_exp20000us_gain1.50_20251023_200104.jpg,333.984375,617,2090,20000,1.5000
20251023_200104,scan_angle_0335.39deg_exp20000us_gain1.50_20251023_200104.jpg,335.390625,633,2093,20000,1.5000
20251023_200105,scan_angle_0336.27deg_exp20000us_gain1.50_20251023_200105.jpg,336.269531,643,2094,20000,1.5000
20251023_200105,scan_angle_0337.32deg_exp20000us_gain1.50_20251023_200105.jpg,337.324219,655,2092,20000,1.5000
20251023_200106,scan_angle_0339.26deg_exp20000us_gain1.50_20251023_200106.jpg,339.257812,677,2094,20000,1.5000
20251023_200106,scan_angle_0340.31deg_exp20000us_gain1.50_20251023_200106.jpg,340.312500,689,2095,20000,1.5000
20251023_200106,scan_angle_0341.37deg_exp20000us_gain1.50_20251023_200106.jpg,341.367188,701,2098,20000,1.5000
20251023_200107,scan_angle_0342.86deg_exp20000us_gain1.50_20251023_200107.jpg,342.861328,718,2097,20000,1.5000
20251023_200107,scan_angle_0344.18deg_exp20000us_gain1.50_20251023_200107.jpg,344.179688,733,2099,20000,1.5000
20251023_200108,scan_angle_0345.15deg_exp20000us_gain1.50_20251023_200108.jpg,345.146484,744,2100,20000,1.5000
20251023_200108,scan_angle_0346.38deg_exp20000us_gain1.50_20251023_200108.jpg,346.376953,758,2099,20000,1.5000
20251023_200108,scan_angle_0347.43deg_exp20000us_gain1.50_20251023_200108.jpg,347.431641,770,2098,20000,1.5000
20251023_200109,scan_angle_0349.80deg_exp20000us_gain1.50_20251023_200109.jpg,349.804688,797,2100,20000,1.5000
20251023_200109,scan_angle_0350.77deg_exp20000us_gain1.50_20251023_200109.jpg,350.771484,808,2103,20000,1.5000
20251023_200110,scan_angle_0352.88deg_exp20000us_gain1.50_20251023_200110.jpg,352.880859,832,2106,20000,1.5000
