timestamp,filename,angle_deg,raw_angle,magnitude
20251022_174621,scan_angle_0000.00_deg_20251022_174621.jpg,0.000000,32,2028
20251022_174624,scan_angle_0355.61_deg_20251022_174624.jpg,355.605469,4078,2027
20251022_174626,scan_angle_0349.45_deg_20251022_174626.jpg,349.453125,4008,2029
20251022_174627,scan_angle_0345.67_deg_20251022_174627.jpg,345.673828,3965,2030
20251022_174629,scan_angle_0336.27_deg_20251022_174629.jpg,336.269531,3858,2031
20251022_174631,scan_angle_0328.71_deg_20251022_174631.jpg,328.710938,3772,2034
20251022_174632,scan_angle_0318.96_deg_20251022_174632.jpg,318.955078,3661,2039
20251022_174634,scan_angle_0307.18_deg_20251022_174634.jpg,307.177734,3527,2039
20251022_174636,scan_angle_0295.49_deg_20251022_174636.jpg,295.488281,3394,2042
20251022_174639,scan_angle_0026.28_deg_20251022_174639.jpg,26.279297,331,2034
20251022_174641,scan_angle_0043.68_deg_20251022_174641.jpg,43.681641,529,2042
20251022_174644,scan_angle_0354.99_deg_20251022_174644.jpg,354.990234,4071,2026
